name,set_name,border_color,mana_cost,type_line,oracle_text,power,toughness,loyalty,collector_number,watermark,usd,eur
Sex Appeal,Unglued,silver,{W},Instant,"Prevent the next 3 damage that would be dealt this turn to any number of targets, divided as you choose. If there are more people in the room of a different gender than you are as you cast this spell, prevent the next 6 damage this way instead.",,,,13,,0.3,0.19
Dr. Julius Jumblemorph,The List (Unfinity Foil Edition),silver,{2}{G}{W},Legendary Creature,"Dr. Julius Jumblemorph is every creature type (even if this card isn't on the battlefield).\nWhenever a host enters the battlefield under your control, you may search your library and/or graveyard for a card with augment and combine it with that host. If you search your library this way, shuffle",4,4,,46,crossbreedlabs,,
Snickering Squirrel,Unsanctioned,silver,{B},Creature — Squirrel Advisor,You may tap Snickering Squirrel to increase the result of a die any player rolled by 1.,1,1,,45,leagueofdastardlydoom,0.1,0.29
Squirrel Farm,Unglued,silver,{2}{G},Enchantment,"{1}{G}: Reveal a card in your hand, covering the artist credit. Target opponent guesses the artist. If they guess wrong, create a 1/1 green Squirrel creature token.",,,,66,,2.12,1.25
Remodel,Unhinged,silver,{2}{G},Instant,"If you control two or more green permanents that share an artist, you may cast this spell without paying its mana cost.\nExile target artifact",,,,108,,0.15,0.1
Animate Library,The List (Unfinity Foil Edition),silver,{4}{U}{U},Enchantment — Aura,"Enchant your library\nEnchanted library is an artifact creature on the battlefield with power and toughness each equal to the number of cards in it. It's still a library.\nIf enchanted library would leave the battlefield, exile Animate Library instea",,,,11,orderofthewidget,,
Infernal Spawn of Evil,Unglued,silver,{6}{B}{B}{B},Creature — Beast,"Flying, first strike\n{1}{B}, Reveal Infernal Spawn of Evil from your hand, Say \""It's coming!\"": Infernal Spawn of Evil deals 1 damage to target opponent or planeswalker. Activate only during your upkeep and only once each tu",7,7,,33,,1.53,0.89
Secret Base,Unstable,silver,"",Land,{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a spell that shares a watermark with Secret Base,,,,165a,orderofthewidget,0.17,0.06
Very Cryptic Command,Unstable,silver,{1}{U}{U}{U},Instant,"Choose two —\n• Switch target creature's power and toughness until end of turn.\n• Target creature can't be blocked this turn.\n• Draw a card. If that card's art is by Wayne England, you may reveal it and draw another card.\n• Assemble a Contrapt",,,,49a,,1.48,2.46
Common Courtesy,Unglued,silver,{2}{U}{U},Enchantment,"Whenever a player casts a spell without asking your permission while casting it, counter that spell.\nWhen a player asks you permission to cast a spell and you refuse, counter that spell and sacrifice Common Courtesy",,,,21,,0.29,0.39
Clue // Clue,Unstable Tokens,black,,Token Artifact — Clue // Token,,,,,18,,,
Assquatch,Unhinged,silver,{4}{R},Creature — Donkey,"Each other Donkey gets +1½/+1½.\nWhenever another Donkey enters the battlefield, untap target creature and gain control of it until end of turn. That creature gains haste until end of turn",3.5,3.5,,71,,1.37,0.79
Jalum Grifter,Unglued,silver,{3}{R}{R},Legendary Creature — Devil,"{1}{R}, {T}: Shuffle Jalum Grifter and two lands you control face down. Target opponent chooses one of those cards. Turn the cards face up. If they chose Jalum Grifter, sacrifice it. Otherwise, destroy target permanent.",3,5,,47,,0.65,0.6
Kindslaver,Unstable,silver,{5},Legendary Artifact,"{5}, {T}, Sacrifice Kindslaver: A person outside the game controls target player during that player's next turn. Neither player may advise that person until the end of that turn.",,,,150,,0.15,0.24
R\u0026D's Secret,Unhinged,silver,"",Legendary Land,Play cards as written. Ignore all errata.\n{T}: Add {C}. (This mana is still added to your mana pool.,,,,135,,2.41,0.69
Lobe Lobber,Unstable,silver,{2},Artifact — Equipment,"Equipped creature has \""{T}: This creature deals 1 damage to target player or planeswalker. Roll a six-sided die. On a 5 or higher, untap it.\""\nEquip ",,,,153,leagueofdastardlydoom,0.21,0.62
Name Dropping,Unhinged,silver,{1}{G},Enchantment,"Gotcha — If an opponent says a word that's in the name of a card in your graveyard, you may say \""Gotcha!\"" When you do, return that card to your han",,,,105,,0.19,0.02
Amateur Auteur,Unstable,silver,{1}{W},Creature — Human,Sacrifice Amateur Auteur: Destroy target enchantment.,2,2,,3b,,0.13,0.11
Steamflogger of the Month,Unstable,silver,{3}{R}{R},Creature — Goblin Rigger,"When Steamflogger of the Month enters the battlefield, it assembles a Contraption for each Contraption you control. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)",3,3,,94,goblinexplosioneers,0.19,0.18
Secret Base,Unstable,silver,"",Land,{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a spell that shares a watermark with Secret Base,,,,165c,leagueofdastardlydoom,0.24,0.09
Incite Insight,The List (Unfinity Foil Edition),silver,{X}{U}{U},Sorcery,"Assemble X Contraptions. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)",,,,16,orderofthewidget,,
Beast in Show,Unstable,silver,{4}{G}{G},Creature — Beast,Trample,6,4,,103d,,0.07,0.1
Old Guard,Unstable,silver,{1}{W},Artifact Creature — Cyborg Soldier,"{W}, {T}: Tap target creature without reminder text. (Reminder text is still any italicized text in parentheses that explains rules you already know.)",2,1,,16,orderofthewidget,0.06,0.02
Jumbo Imp,Unglued,silver,{2}{B},Creature — Imp,"Flying\nAs Jumbo Imp enters the battlefield, roll a six-sided die. Jumbo Imp enters the battlefield with a number of +1/+1 counters on it equal to the result.\nAt the beginning of your upkeep, roll a six-sided die and put a number of +1/+1 counters on Jumbo Imp equal to the result.\nAt the beginning of your end step, roll a six-sided die and remove a number of +1/+1 counters from Jumbo Imp equal to the resu",0,0,,34,,0.29,0.2
Modular Monstrosity,Unstable,silver,{7},Artifact Creature — Construct,"Whenever an opponent casts a spell, you have five seconds to choose a keyword you haven't chosen for a card named Modular Monstrosity today that's been printed on a creature card. If you do, Modular Monstrosity gains that ability. Otherwise, Modular Monstrosity loses all keyword abilities.",3,3,,155,,0.16,0.15
Alexander Clamilton,Unsanctioned,silver,{2}{U},Legendary Creature — Clamfolk Advisor Rebel,"Whenever you cast a wordy spell, scry 2. (A spell is wordy if it has four or more lines of rules text.)\n{1}{R}, {T}: Choose target creature you don't control. Reveal the top card of your library. Alexander Clamilton gets +X/+0 until end of turn, where X is the number of lines of rules text of the revealed card. Alexander Clamilton fights that creature",0,4,,16,,0.26,0.2
Avatar of Me,The List (Unfinity Foil Edition),silver,{2}{U}{U},Creature — Avatar,This spell costs {1} more to cast for each ten years you've been alive.\nAvatar of Me's power is equal to your height in feet and its toughness is equal to your American shoe size. Round to the nearest ½.\nAvatar of Me is the color of your eye,*,*,,12,,,
Proper Laboratory Attire,Unstable,silver,{1},Artifact — Equipment,"Equipped creature gets +2/+1 and has protection from die rolls. (Nothing that lets a player roll a die can block, target, deal damage to, or attach to equipped creature.)\nEquip {2",,,,156,crossbreedlabs,0.11,0.02
Everythingamajig,Unstable,silver,{8},Artifact,"{1}, {T}: Scry 2.\n{1}, {T}, Pay 1 life: Create a 0/1 white Goat creature token.\n{7}, {T}, Sacrifice Everythingamajig: Choose target player. At the beginning of the next end step, exchange life totals with that player, exchange control of all permanents you and that player control, and exchange cards in your hands, cards in your libraries, and cards in your graveyard",,,,147f,,1.66,2.0
"Strategy, Schmategy",Unglued,silver,{1}{R},Sorcery,"Roll a six-sided die. Strategy, Schmategy has the indicated effect.\n1 — Do nothing.\n2 — Destroy all artifacts.\n3 — Destroy all lands.\n4 — Strategy, Schmategy deals 3 damage to each creature and each player.\n5 — Each player discards their hand and draws seven cards.\n6 — Repeat this process two more ",,,,52,,1.99,6.62
Garbage Elemental,Unstable,silver,{4}{R},Creature — Elemental,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)\nWhen Garbage Elemental enters the battlefield, roll a six-sided die. Garbage Elemental deals damage equal to the result to target opponent or planeswalker",3,3,,82d,,1.68,0.5
Old-Fashioned Vampire,Unstable,silver,{3}{B}{B},Creature — Vampyre,Flying\nOld-Fashioned Vampire gets +2/+2 and has deathtouch as long as it's dark outdoors,3,3,,62,,0.16,0.04
"Richard Garfield, Ph.D.",The List (Unfinity Foil Edition),silver,{3}{U}{U},Legendary Creature — Human Designer,You may play cards as though they were other cards of your choice with the same mana cost. You can't choose the same card twice. (Mana cost includes color.),2,2,,17,,,
AWOL,Unsanctioned,silver,{2}{W},Instant,Exile target attacking creature. Then remove it from the game. Then put it into the absolutely-removed-from-the-freaking-game-forever zone.,,,,2,,0.16,0.05
Cardpecker,Unhinged,silver,{1}{W},Creature — Bird,"Flying\nGotcha — If an opponent touches the table with their hand, you may say \""Gotcha!\"" When you do, return Cardpecker from your graveyard to your ha",1.5,1,,4★,,,
Fascist Art Director,Unhinged,silver,{1}{W}{W},Creature — Human Horror,{W}{W}: Fascist Art Director gains protection from the artist of your choice until end of turn.,2,2,,11,,0.11,0.1
Oddly Uneven,The List (Unfinity Foil Edition),silver,{3}{W}{W},Sorcery,Choose one —\n• Destroy each creature with an odd number of words in its name. (Hyphenated words are one word.)\n• Destroy each creature with an even number of words in its nam,,,,6,,,
Garbage Elemental,Unstable,silver,{4}{R},Creature — Elemental,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)\nWhen Garbage Elemental enters the battlefield, roll two six-sided dice. Create a number of 1/1 red Goblin creature tokens equal to the difference between those results",3,2,,82c,,0.56,0.2
Chaos Confetti,Unglued,silver,{4},Artifact,"{4}, {T}: Tear Chaos Confetti into pieces. Throw the pieces onto the battlefield from a distance of at least five feet. Destroy each permanent that a piece touches. Remove the pieces from the game.",,,,72,,0.75,0.86
Side Quest,Unstable,silver,{W},Sorcery,"Target player in an Un-game you can see from your seat gains control of target creature you control until your next turn. At the beginning of your next upkeep, put two +1/+1 counters on that creature. (A creature is on the battlefield of only the game its controller is playing.)",,,,23,,0.08,0.19
When Fluffy Bunnies Attack,Unhinged,silver,{3}{B},Instant,"Target creature gets -X/-X until end of turn, where X is the number of times the letter of your choice appears in that creature's name.",,,,67,,0.18,0.06
Boomflinger,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Boomflinger, roll two six-sided dice. Boomflinger deals damage to target player or planeswalker equal to the difference between those results.",,,,172,goblinexplosioneers,0.08,0.12
Blast from the Past,Unsanctioned,silver,{2}{R},Instant,"Madness {R}, cycling {1}{R}, kicker {2}{R}, flashback {3}{R}, buyback {4}{R}\nBlast from the Past deals 2 damage to any target. If this spell was kicked, create a 1/1 red Goblin creature token",,,,48,,0.19,0.13
Paper Tiger,Unsanctioned,silver,{4},Artifact Creature — Cat,Creatures named Rock Lobster can't attack or block.,4,3,,80,,0.25,0.15
Growth Spurt,Unsanctioned,silver,{1}{G},Instant,"Roll a six-sided die. Target creature gets +X/+X until end of turn, where X is the result.",,,,64,,0.08,0.02
Side to Side,Unhinged,silver,{2}{G},Instant,"You and target opponent arm-wrestle. If you win, create a 3/3 green Ape creature token.",,,,110,,0.25,0.49
Refibrillator,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Refibrillator, return target creature card from your graveyard to your hand.",,,,202,crossbreedlabs,0.18,0.2
"Mine, Mine, Mine!",Unglued,silver,{4}{G}{G},Enchantment,"When Mine, Mine, Mine! enters the battlefield, each player puts their library into their hand.\nPlayers have no maximum hand size and don't lose the game for drawing from an empty library.\nEach player can't cast more than one spell each turn.\nWhen Mine, Mine, Mine! leaves the battlefield, each player shuffles their hand and graveyard into their libra",,,,65,,1.04,1.23
Mother Kangaroo,Unstable,silver,{4}{G},Host Creature — Kangaroo,"When this creature enters the battlefield, roll a six-sided die. Put a number of +1/+1 counters on this creature equal to the result.",1,1,,116,,0.08,0.08
Head to Head,Unhinged,silver,{W},Instant,"You and target opponent play Seven Questions with the top card of that player's library. If you win, prevent all damage that would be dealt this turn by a source of your choice. (To play Seven Questions, that player looks at the card, then you ask up to six yes-or-no questions about the card that they answer truthfully. You guess the card's name—that's question seven—then the player reveals the card.)",,,,14,,0.16,0.09
B.F.M. (Big Furry Monster),Unglued,silver,"","Creature — The Biggest, Baddest, Nastiest,","You must cast both B.F.M. cards to put\nleaves the battlefield, sacrifice the other.\nB.F.M. can't be blocked except by three ",,,,28,,8.78,8.81
Target Minotaur,Unstable,silver,{1}{R},Creature — Minotaur Warrior,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",2,1,,98a,,0.15,0.06
Blast from the Past,Unhinged,silver,{2}{R},Instant,"Madness {R}, cycling {1}{R}, kicker {2}{R}, flashback {3}{R}, buyback {4}{R}\nBlast from the Past deals 2 damage to any target. If this spell was kicked, create a 1/1 red Goblin creature token",,,,72★,,,
Gluetius Maximus,Unhinged,silver,{3}{G}{G},Creature — Beast,"As Gluetius Maximus enters the battlefield, an opponent chooses one of your fingers. (Thumbs are fingers, too.)\nWhen the chosen finger isn't touching Gluetius Maximus, sacrifice Gluetius Maximus",5,5,,98,,0.17,0.1
Cramped Bunker,Unstable,silver,{4}{R}{G},Enchantment,"At the beginning of each opponent's upkeep, that player moves a permanent they control to touch Cramped Bunker and no other permanents. If the player can't, destroy each permanent they control that isn't touching Cramped Bunker, then sacrifice it.",,,,129,,0.15,0.25
Pointy Finger of Doom,Unsanctioned,silver,{4},Artifact,"{3}, {T}: Spin Pointy Finger of Doom in the middle of the table so that it rotates completely at least once, then destroy the closest permanent the finger points to.",,,,81,,0.21,0.13
Topsy Turvy,Unsanctioned,silver,{2}{U},Enchantment,"The phases of each player's turn are reversed. (The phases are, in reverse order, ending, postcombat main, combat, precombat main, and beginning.)\nAs long as there are more than two players in the game, the turn order is reversed",,,,29,,0.08,0.22
"Look at Me, I'm R\u",Unsanctioned,silver,{2}{W},Enchantment,"As Look at Me, I'm R\u0026D comes into play, choose a number and a second number one higher or one lower than that number.\nAll instances of the first chosen number on permanents, spells, and cards in any zone are the second chosen n",,,,9,,0.17,0.19
Five-Finger Discount,Unstable,silver,{4}{U}{U},Sorcery,Put target nonland permanent into your hand. You may spend mana as though it were mana of any color the next time you cast that card.,,,,33,agentsofsneak,0.14,0.19
Cheatyface,Unhinged,silver,{U}{U}{U},Creature — Efreet,"If Cheatyface is in your hand, you may sneak Cheatyface onto the battlefield. If an opponent catches you right away, that player may exile Cheatyface.\nFlyin",2,2,,30,,1.57,0.5
Goblin Tutor,Unsanctioned,silver,{R},Instant,"Roll a six-sided die. If you roll a 1, Goblin Tutor has no effect. Otherwise, search your library for the indicated card, reveal it, put it into your hand, then shuffle.\n2 — A card named Goblin Tutor\n3 — An enchantment\n4 — An artifact\n5 — A creature\n6 — An instant or so",,,,53,,0.54,0.25
Flavor Judge,Unsanctioned,silver,{1}{W},Creature — Bird Advisor,"{T}: Choose target spell or ability that targets a permanent you control. Then ask a person outside the game if the story of what will happen makes sense. If they say no, sacrifice Flavor Judge and counter that spell or ability.",2,2,,4,,0.13,0.5
"Half-Squirrel, Half-",Unsanctioned,silver,"",Creature — Squirrel,"Whenever a nontoken creature enters the battlefield,\nAugment {G} ({G}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.",-1,-0,,65,,0.09,0.08
Better Than One,Unstable,silver,{G}{W},Sorcery,"A person outside the game becomes your teammate. (Choose any number of cards in your hand, on top of your library, or on the battlefield under your control. Those cards become your teammate's hand, library, and permanents, respectively.)",,,,128,crossbreedlabs,0.12,0.25
Multi-Headed,Unstable,silver,"",Creature — Hydra,"At the beginning of each end step, if you rolled a die this turn,\nAugment {4}{G} ({4}{G}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.",+4,+4,,117,,0.07,0.05
Squirrel,Unglued Tokens,silver,"",Token Creature — Squirrel,"",1,1,,6,,13.92,
Old Fogey,Unhinged,silver,{G}{G},Summon — Dinosaur,"Phasing, cumulative upkeep {1}, echo {G}{G}, fading 3, bands with other Dinosaurs, protection from Homarids, snow-covered plainswalk, flanking, rampage 2",7,7,,106★,,,
Earl of Squirrel,The List (Unfinity Foil Edition),silver,{4}{G}{G},Creature — Squirrel Noble Advisor,Squirrellink (Damage dealt by this creature also causes you to create that many 1/1 green Squirrel creature tokens.)\nCreature tokens you control are Squirrels in addition to their other creature types.\nOther Squirrels you control get +1/+,4,4,,108,,,
Everythingamajig,Unstable,silver,{5},Artifact,"{1}: Flip a coin. If you win the flip, add {C}{C}. Activate only as an instant.\n{3}, {T}: Target player discards a card. Activate only during your turn.\n{X}: Everythingamajig becomes an X/X Construct artifact creature until end of tur",,,,147c,,2.17,2.31
Animate Library,Unstable,silver,{4}{U}{U},Enchantment — Aura,"Enchant your library\nEnchanted library is an artifact creature on the battlefield with power and toughness each equal to the number of cards in it. It's still a library.\nIf enchanted library would leave the battlefield, exile Animate Library instea",,,,26,orderofthewidget,0.26,0.22
"Syr Cadian, Knight Owl",Unsanctioned,silver,{3}{W}{W},Legendary Creature — Bird Knight,"Knightlifelink (Damage dealt by Knights you control also causes you to gain that much life.)\n{W}: Syr Cadian, Knight Owl gains vigilance until end of turn. Activate only from sunrise to sunset.\n{B}: Syr Cadian, Knight Owl gains flying until end of turn. Activate only from sunset to sunris",4,4,,15,,0.22,0.19
Mons's Goblin Waiters,Unhinged,silver,{R},Creature — Goblin Waiter,Sacrifice a creature or land: Add {HR}.,1,1,,82★,,,
Mouth to Mouth,Unhinged,silver,{3}{U},Sorcery,"Choose target opponent and target creature they control. You and that player have a breath-holding contest. If you win, you gain control of that creature.",,,,40,,0.25,0.2
Gerrymandering,Unglued,silver,{2}{G},Sorcery,Exile all lands. Give each player a number of those cards chosen at random equal to the number of those cards the player controlled. Each player returns those cards to the battlefield under their control.,,,,59,,0.25,0.49
Brainiac,Unstable Tokens,silver,"",Token Creature — Brainiac,"",1,1,,10,,,
Pygmy Giant,Unhinged,silver,{1}{R}{R},Creature — Giant,"{R}, {T}, Sacrifice a creature: Pygmy Giant deals X damage to target creature, where X is a number in the sacrificed creature's text box.",0,2,,85,,0.22,0.15
Cogmentor,Unstable,silver,{1},Artifact Creature — Gnome Rigger,Flying\n{4}: Reassemble target Contraption you control. (Move it onto another one of your sprockets.,1,1,,143,orderofthewidget,0.09,0.12
Mox Lotus,Unhinged,silver,{15},Artifact,{T}: Add {∞}.\n{100}: Add one mana of any color,,,,124★,flavor,,
Eager Beaver,Unstable,silver,{2}{G},Host Creature — Beaver,"When this creature enters the battlefield, you may untap target permanent.",3,2,,107,,0.07,0.19
"Spike, Tournament Grinder",Unstable,silver,{2}{B/P}{B/P},Legendary Creature — Human Gamer,({B/P} can be paid with either {B} or 2 life.)\n{B/P}{B/P}{B/P}{B/P}: Reveal a card you own from outside the game that has been banned or restricted in a Constructed format and put it into your hand,1,1,,69,,0.22,0.24
More or Less,Unstable,silver,{U},Instant,Add or subtract 1 or one from a number or number word on target spell or permanent until end of turn.,,,,40,,0.17,0.09
Bat-,Unsanctioned,silver,"",Creature — Bat,"Flying\nAt the beginning of each end step, if an opponent lost 3 or more life this turn,\nAugment {1}{B} ({1}{B}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery",+1,+1,,32,,0.16,0.14
Soldier,Unglued Tokens,silver,"",Token Creature — Soldier,"",1,1,,2,,2.63,
Elvish Impersonators,Unsanctioned,silver,{3}{G},Creature — Elves,"As Elvish Impersonators enters the battlefield, roll a six-sided die twice. Its base power becomes the first result and its base toughness becomes the second result.",*,*,,62,,0.08,0.45
Rules Lawyer,The List (Unfinity Foil Edition),silver,{3}{W}{W},Artifact Creature — Cyborg Advisor,"State-based actions don't apply to you or other permanents you control. (You don't lose the game due to having 0 or less life or drawing from an empty library. Your creatures aren't destroyed due to damage or deathtouch and aren't put into a graveyard due to having 0 or less toughness. Your planeswalkers aren't put into a graveyard if they have 0 loyalty. You don't put a legendary permanent into a graveyard if you control two with the same name. Counters aren't removed from your permanents due to game rules. Permanents you control attached or combined illegally remain on the battlefield. For complete rules and regulations, see rule 704.)",1,1,,7,orderofthewidget,,
Surgeon General Commander,Unsanctioned,silver,{3}{G},Legendary Creature — Wombat Bat Chameleon,"Whenever you augment, enchant, or mutate a creature you control, draw a card.\n{T}: Add {W}, {U}, {B}, {R}, or {G}",3,3,,72,,0.29,0.33
Extremely Slow Zombie,Unstable,silver,{1}{B},Creature — Zombie,Last strike (This creature deals combat damage after creatures without last strike.),3,3,,54d,,0.2,0.15
Volrath's Motion Sensor,Unglued,silver,{B},Enchantment — Aura,"Enchant player\nAs Volrath's Motion Sensor enters the battlefield, choose one of enchanted player's hands. That player balances Volrath's Motion Sensor on the back of that hand.\nWhen Volrath's Motion Sensor falls off the chosen hand, sacrifice Volrath's Motion Sensor and enchanted player loses 3 lif",,,,39,,0.34,0.15
Extremely Slow Zombie,Unstable,silver,{1}{B},Creature — Zombie,Last strike (This creature deals combat damage after creatures without last strike.),3,3,,54b,,0.17,0.15
Lexivore,Unglued,silver,{3}{W},Creature — Beast,"Whenever Lexivore deals damage to a player, destroy target permanent other than Lexivore with the most lines of text in its text box. (If two or more cards are tied, target any one of them.)",2,3,,7,,0.19,0.39
Loose Lips,Unhinged,silver,{U},Enchantment — Aura,"Enchant creature\nAs Loose Lips enters the battlefield, choose a sentence with eight or fewer words.\nEnchanted creature has flying.\nWhenever enchanted creature deals damage to an opponent, that player may say the chosen sentence. If they don't, you draw two car",,,,36,,0.17,0.09
Everythingamajig,Unstable,silver,{5},Artifact,"{2}, {T}: Draw a card. Activate only if you have no cards in hand.\n{8}, {T}: You gain 10 life.\n{4}, {T}, Sacrifice Everythingamajig: You may put a silver-bordered or acorn permanent card from your hand onto the battlefiel",,,,147b,,1.8,2.0
Forest,Unglued,black,"",Basic Land — Forest,({T}: Add {G}.),,,,88,,5.62,2.96
The Fallen Apart,Unhinged,silver,{2}{B}{B},Creature — Zombie,"The Fallen Apart enters the battlefield with two arms and two legs.\nWhenever damage is dealt to The Fallen Apart, remove an arm or a leg from it.\nThe Fallen Apart can't attack if it has no legs and can't block if it has no arm",4,4,,55,,0.11,0.1
Kindslaver,The List (Unfinity Foil Edition),silver,{5},Legendary Artifact,"{5}, {T}, Sacrifice Kindslaver: A person outside the game controls target player during that player's next turn. Neither player may advise that person until the end of that turn.",,,,58,,,
Robo-,Unstable,silver,"",Artifact Creature — Construct,"At the beginning of each end step, if an artifact entered the battlefield under your control this turn,\nAugment {2} ({2}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.",+1,+1,,157,,0.17,0.08
Clam-I-Am,Unglued,silver,{2}{U},Creature — Clamfolk,"If you roll a 3 on a six-sided die, you may reroll that die.",2,2,,19,,0.24,0.29
Duplication Device,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Duplication Device, until end of turn, target creature becomes a copy of any creature on the battlefield, except it's an artifact in addition to its other types.",,,,180,orderofthewidget,0.14,0.18
Working Stiff,Unhinged,silver,{1}{B},Creature — Mummy,"As Working Stiff enters the battlefield, straighten your arms.\nWhen you bend an elbow, sacrifice Working Stiff",2,2,,68,,0.2,0.05
Temp of the Damned,Unglued,silver,{2}{B},Creature — Zombie,"As Temp of the Damned enters the battlefield, roll a six-sided die. Temp of the Damned enters the battlefield with a number of funk counters on it equal to the result.\nAt the beginning of your upkeep, remove a funk counter from Temp of the Damned. If you can't, sacrifice it",3,3,,38,,0.2,0.08
Aerial Toastmaster,Unstable,silver,{3}{W},Artifact Creature — Cyborg Rigger,"Flying\n{3}{W}, Sacrifice another artifact: Aerial Toastmaster assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.",3,2,,2,orderofthewidget,0.1,0.19
"Half-Squirrel, Half-",Unstable,silver,"",Creature — Squirrel,"Whenever a nontoken creature enters the battlefield,\nAugment {G} ({G}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.",-1,-0,,111,,0.14,0.05
Team Spirit,Unglued,silver,{2}{G},Instant,Creatures target player's team controls get +1/+1 until end of turn.,,,,67,,0.14,0.49
"First Come, First Served",Unhinged,silver,{1}{W},Enchantment,Each attacking or blocking creature with the lowest collector number among attacking or blocking creatures has first strike.,,,,12,,0.15,0.33
Graveyard Busybody,Unstable,silver,{4}{U}{U},Creature — Human Spy,All graveyards are also your graveyards.\nGraveyard Busybody's power and toughness are each equal to the number of cards with flavor text in your graveyards,*,*,,34,agentsofsneak,0.2,0.12
Graphic Violence,Unhinged,silver,{2}{G},Instant,All creatures with art by the artist of your choice get +2/+2 and gain trample until end of turn.,,,,100,,0.15,0.11
Novellamental,Unstable,silver,{1}{U},Creature — Elemental,Flying\nNovellamental can block only creatures with flying,2,1,,41b,,0.09,0.1
Dirty Rat,Unstable,silver,{1}{B},Host Creature — Rat,"When this creature enters the battlefield, target opponent discards a card.",1,1,,53,,0.08,0.05
Once More with Feeling,Unglued,silver,{W}{W}{W}{W},Sorcery,"Exile all permanents and all cards from all graveyards. Each player shuffles their hand into their library, then draws seven cards. Each player's life total becomes 10. Exile Once More with Feeling.\nDCI ruling — A deck can have only one card named Once More with Feeling",,,,11,,0.55,1.73
Save Life,Unhinged,silver,{W},Instant,"Choose one —\n• Target player gains 2½ life.\n• Prevent the next 2½ damage that would be dealt to target creature this turn.\nGotcha — If an opponent says \""save\"" or \""life,\"" you may say \""Gotcha!\"" When you do, return Save Life from your graveyard to y",,,,19,,2.67,0.34
Incite Insight,Unstable,silver,{X}{U}{U},Sorcery,"Assemble X Contraptions. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)",,,,36,orderofthewidget,0.15,0.11
Sword of Dungeons \u0026 Dr,Unstable,silver,{3},Artifact — Equipment,"Equipped creature gets +2/+2 and has protection from Rogues and from Clerics.\nWhenever equipped creature deals combat damage to a player, create a 4/4 gold Dragon creature token with flying and roll a d20 (a twenty-sided die). If you roll a 20, repeat this process.\nEquip {",,,,163,,1.83,1.99
Overt Operative,Unstable,silver,{3}{B},Creature — Human Ninja Rigger,"Menace\nWhenever Overt Operative deals combat damage to a player, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.",2,3,,64,agentsofsneak,0.11,0.04
Rings a Bell,Unsanctioned,silver,{2}{U}{U},Enchantment,"As Rings a Bell enters the battlefield, choose a word with four or more letters.\nAfter you say the chosen word for the first time each turn, an opponent may ring or imitate a bell within five seconds. When no opponent does, draw a card",,,,27,,0.12,0.14
Midlife Upgrade,Unstable,silver,{3}{W},Sorcery,"As an additional cost to cast this spell, sacrifice X Contraptions.\nAssemble X plus one Contraptions. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.",,,,14,orderofthewidget,0.1,0.19
Pegasus,Unglued Tokens,silver,"",Token Creature — Pegasus,Flying,1,1,,1,,0.58,
Ineffable Blessing,Unstable,silver,{1}{G},Enchantment,"As Ineffable Blessing enters the battlefield, choose a rarity.\nWhenever a creature with the chosen rarity enters the battlefield under your control, draw a card",,,,113d,,1.07,1.98
Knight of the Hokey Pokey,Unglued,silver,{W}{W},Creature — Knight,"First strike\n{1}{W}, Do the Hokey Pokey: Prevent all damage a source of your choice would deal to Knight of the Hokey Pokey this turn. (To do the Hokey Pokey, choose an arm, a leg, or your whole self and put it in. Put it out. Put it in. Shake it all about. You do the Hokey Pokey! Turn yourself around.",2,2,,6,,0.19,0.02
Uktabi Kong,Unhinged,silver,{5}{G}{G}{G},Creature — Ape,"Trample\nWhen Uktabi Kong enters the battlefield, destroy all artifacts.\nTap two untapped Apes you control: Create a 1/1 green Ape creature toke",8,8,,115,,10.41,1.75
Angelic Rocket,Unstable,silver,{8},Host Artifact Creature — Angel,"Flying\nWhen this creature enters the battlefield, you may destroy target nonland permanent",4,4,,139,,0.23,0.17
Sly Spy,Unstable,silver,{2}{B},Creature — Human Spy,"Whenever Sly Spy deals combat damage to a player, roll a six-sided die. That player loses life equal to the result.",2,2,,67f,agentsofsneak,0.13,0.25
